fecha;upt_3g
01-01-2022;93,5
02-01-2022;93,4
03-01-2022;93,2
04-01-2022;92,6
05-01-2022;92,7
06-01-2022;92,9
07-01-2022;93,3
08-01-2022;93,3
09-01-2022;93,2
10-01-2022;92,0
11-01-2022;92,3
12-01-2022;92,1
13-01-2022;91,3
14-01-2022;91,8
15-01-2022;92,5
16-01-2022;93,0
17-01-2022;92,8
18-01-2022;92,8
19-01-2022;92,6
20-01-2022;92,3
21-01-2022;92,2
22-01-2022;91,9
23-01-2022;92,0
24-01-2022;91,3
25-01-2022;90,7
26-01-2022;91,1
27-01-2022;91,9
28-01-2022;90,7
29-01-2022;91,0
30-01-2022;90,3
31-01-2022;88,7
01-02-2022;88,4
02-02-2022;88,3
03-02-2022;89,3
04-02-2022;88,6
05-02-2022;89,1
06-02-2022;89,0
07-02-2022;88,8
08-02-2022;89,0
09-02-2022;88,8
10-02-2022;88,9
11-02-2022;88,6
12-02-2022;87,5
13-02-2022;87,5
14-02-2022;87,4
15-02-2022;86,5
16-02-2022;86,4
17-02-2022;84,9
18-02-2022;84,6
19-02-2022;86,5
20-02-2022;86,9
21-02-2022;86,6
22-02-2022;87,3
23-02-2022;87,6
24-02-2022;88,0
25-02-2022;88,0
26-02-2022;88,2
27-02-2022;87,6
28-02-2022;87,6
01-03-2022;87,8
02-03-2022;87,6
03-03-2022;87,7
04-03-2022;87,7
05-03-2022;87,2
06-03-2022;87,4
07-03-2022;86,9
08-03-2022;86,4
09-03-2022;85,9
10-03-2022;86,6
11-03-2022;87,0
12-03-2022;87,0
13-03-2022;87,0
14-03-2022;86,2
15-03-2022;86,3
16-03-2022;86,7
17-03-2022;86,5
18-03-2022;86,4
19-03-2022;86,0
20-03-2022;86,1
21-03-2022;86,0
22-03-2022;87,1
23-03-2022;88,0
24-03-2022;87,6
25-03-2022;89,1
26-03-2022;89,2
27-03-2022;89,4
28-03-2022;89,3
29-03-2022;89,7
30-03-2022;90,0
31-03-2022;91,2
01-04-2022;91,5
02-04-2022;92,1
03-04-2022;91,8
04-04-2022;91,6
05-04-2022;89,5
06-04-2022;91,4
07-04-2022;92,2
08-04-2022;92,9
09-04-2022;92,3
10-04-2022;91,7
11-04-2022;92,0
12-04-2022;92,1
13-04-2022;93,5
14-04-2022;93,8
15-04-2022;93,0
16-04-2022;93,7
17-04-2022;93,3
18-04-2022;93,6
19-04-2022;94,1
20-04-2022;94,1
21-04-2022;93,4
22-04-2022;93,2
23-04-2022;92,7
24-04-2022;90,7
25-04-2022;89,8
26-04-2022;89,3
27-04-2022;89,3
28-04-2022;92,7
29-04-2022;93,4
30-04-2022;93,2
01-05-2022;93,1
02-05-2022;92,1
03-05-2022;92,3
04-05-2022;92,5
05-05-2022;92,9
06-05-2022;94,2
07-05-2022;94,8
08-05-2022;94,7
09-05-2022;94,6
10-05-2022;94,6
11-05-2022;94,6
12-05-2022;94,9
13-05-2022;95,2
14-05-2022;95,8
15-05-2022;95,6
16-05-2022;95,6
17-05-2022;94,5
18-05-2022;94,4
19-05-2022;96,0
20-05-2022;96,4
21-05-2022;96,1
22-05-2022;95,6
23-05-2022;95,0
24-05-2022;95,4
25-05-2022;95,4
